Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visium Device 1,,,,2023-11-27 15:12:14,2023-11-27 15:13:41,1m - 26.747s,PASSED
,,,,,,,
Test Cases/TC01_Register Success - Device 1,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-27 15:12:14,2023-11-27 15:13:41,1m - 26.532s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-11-27 15:12:14,2023-11-27 15:12:33,18.423s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView""), 100)",,,,2023-11-27 15:12:33,2023-11-27 15:12:39,6.065s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-27 15:12:39,2023-11-27 15:12:46,7.671s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-27 15:12:46,2023-11-27 15:12:54,7.605s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-27 15:12:54,2023-11-27 15:13:01,7.255s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-27 15:13:01,2023-11-27 15:13:09,7.496s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-27 15:13:09,2023-11-27 15:13:16,6.964s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-27 15:13:16,2023-11-27 15:13:23,7.040s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-27 15:13:23,2023-11-27 15:13:30,7.071s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-27 15:13:30,2023-11-27 15:13:36,5.676s,PASSED
delay(5),,,,2023-11-27 15:13:36,2023-11-27 15:13:41,5.034s,PASSED
