Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Failed And Success,,,,2023-11-16 23:06:26,2023-11-16 23:07:14,48.309s,FAILED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-16 23:06:27,2023-11-16 23:06:58,31.655s,PASSED
"comment(""Register Success"")",,,,2023-11-16 23:06:27,2023-11-16 23:06:27,0.077s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-16 23:06:27,2023-11-16 23:06:27,0.228s,PASSED
"startApplication(appPath, false)",,,,2023-11-16 23:06:27,2023-11-16 23:06:41,13.438s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-16 23:06:41,2023-11-16 23:06:41,0.567s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-16 23:06:41,2023-11-16 23:06:44,2.240s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-16 23:06:44,2023-11-16 23:06:45,1.570s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-16 23:06:45,2023-11-16 23:06:47,1.603s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-16 23:06:47,2023-11-16 23:06:48,1.094s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-16 23:06:48,2023-11-16 23:06:49,1.097s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-16 23:06:49,2023-11-16 23:06:50,1.115s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-16 23:06:50,2023-11-16 23:06:52,1.628s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-16 23:06:52,2023-11-16 23:06:52,0.585s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-16 23:06:52,2023-11-16 23:06:55,2.920s,PASSED
delay(3),,,,2023-11-16 23:06:55,2023-11-16 23:06:58,3.056s,PASSED
,,,,,,,
Test Cases/TC02_Register Failed,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-16 23:06:58,2023-11-16 23:07:14,16.121s,FAILED
"comment(""Register Success"")",,,,2023-11-16 23:06:59,2023-11-16 23:06:59,0.005s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-16 23:06:59,2023-11-16 23:06:59,0.002s,PASSED
"startApplication(appPath, false)",,,,2023-11-16 23:06:59,2023-11-16 23:07:04,5.169s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-16 23:07:04,2023-11-16 23:07:04,0.266s,PASSED
"setText(findTestObject(""Object Repository/Name Failed - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-16 23:07:04,2023-11-16 23:07:14,10.443s,FAILED
