Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Failed And Success,,,,2023-11-16 23:35:07,2023-11-16 23:35:38,31.731s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-16 23:35:07,2023-11-16 23:35:38,31.281s,PASSED
"comment(""Register Success"")",,,,2023-11-16 23:35:07,2023-11-16 23:35:08,0.073s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-16 23:35:08,2023-11-16 23:35:08,0.206s,PASSED
"startApplication(appPath, false)",,,,2023-11-16 23:35:08,2023-11-16 23:35:23,14.952s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-16 23:35:23,2023-11-16 23:35:24,0.983s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-16 23:35:24,2023-11-16 23:35:26,2.022s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-16 23:35:26,2023-11-16 23:35:27,1.584s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-16 23:35:27,2023-11-16 23:35:29,1.596s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-16 23:35:29,2023-11-16 23:35:30,1.083s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-16 23:35:30,2023-11-16 23:35:31,1.108s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-16 23:35:31,2023-11-16 23:35:33,1.630s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-16 23:35:33,2023-11-16 23:35:34,1.619s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-16 23:35:34,2023-11-16 23:35:35,0.601s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-16 23:35:35,2023-11-16 23:35:35,0.405s,PASSED
delay(3),,,,2023-11-16 23:35:35,2023-11-16 23:35:38,3.029s,PASSED
