Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-11-07 14:56:02,2023-11-07 14:56:32,29.985s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-07 14:56:03,2023-11-07 14:56:32,29.518s,PASSED
"comment(""Register Success"")",,,,2023-11-07 14:56:03,2023-11-07 14:56:03,0.075s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-07 14:56:03,2023-11-07 14:56:03,0.243s,PASSED
"startApplication(appPath, false)",,,,2023-11-07 14:56:03,2023-11-07 14:56:17,13.648s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-07 14:56:17,2023-11-07 14:56:18,0.538s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-07 14:56:18,2023-11-07 14:56:19,1.422s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-07 14:56:19,2023-11-07 14:56:21,1.581s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-07 14:56:21,2023-11-07 14:56:22,1.578s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-07 14:56:22,2023-11-07 14:56:23,1.094s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-07 14:56:23,2023-11-07 14:56:25,1.570s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-07 14:56:25,2023-11-07 14:56:26,1.603s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-07 14:56:26,2023-11-07 14:56:28,1.583s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-07 14:56:28,2023-11-07 14:56:29,0.609s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-07 14:56:29,2023-11-07 14:56:29,0.516s,PASSED
delay(3),,,,2023-11-07 14:56:29,2023-11-07 14:56:32,3.083s,PASSED
