Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visium Device 1,,,,2023-11-24 15:46:59,2023-11-24 15:48:32,1m - 33.086s,PASSED
,,,,,,,
Test Cases/TC01_Register Success - Device 1,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-24 15:46:59,2023-11-24 15:48:32,1m - 32.873s,PASSED
"webDriverVisiumFarmHub = ""https://farmdemo.visiumlabs.com/wd/hub""",,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.001s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.021s,PASSED
"capabilities.setCapability(""deviceName"", ""52003cffeced945f"")",,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.003s,PASSED
"capabilities.setCapability(""automationName"", ""uiautomator2"")",,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.001s,PASSED
"capabilities.setCapability(""platformVersion"", ""8.0.0"")",,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.001s,PASSED
"capabilities.setCapability(""platformName"", ""ANDROID"")",,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.001s,PASSED
"capabilities.setCapability(""udid"", ""52003cffeced945f"")",,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.001s,PASSED
"capabilities.setCapability(""vf:accessKey"", ""brian:54121be2-680f-4acc-b2fd-13228ce956f6"")",,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.001s,PASSED
"capabilities.setCapability(""vf:appId"", ""3309883"")",,,,2023-11-24 15:46:59,2023-11-24 15:46:59,0.001s,PASSED
"createMobileDriver(ANDROID_DRIVER, capabilities, new java.net.URL(webDriverVisiumFarmHub))",,,,2023-11-24 15:46:59,2023-11-24 15:47:17,17.771s,PASSED
"tap(findTestObject(""Object Repository/android.widget.TextView""), 100)",,,,2023-11-24 15:47:17,2023-11-24 15:47:24,7.225s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-24 15:47:24,2023-11-24 15:47:32,8.082s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-24 15:47:32,2023-11-24 15:47:39,6.561s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-24 15:47:39,2023-11-24 15:47:47,7.515s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-24 15:47:47,2023-11-24 15:47:54,7.174s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-24 15:47:54,2023-11-24 15:48:01,7.638s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-24 15:48:01,2023-11-24 15:48:07,6.161s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-24 15:48:07,2023-11-24 15:48:15,7.430s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-24 15:48:15,2023-11-24 15:48:27,11.900s,PASSED
delay(5),,,,2023-11-24 15:48:27,2023-11-24 15:48:32,5.026s,PASSED
