Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Failed And Success,,,,2023-11-17 00:17:21,2023-11-17 00:17:55,33.168s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-17 00:17:22,2023-11-17 00:17:55,32.743s,PASSED
"comment(""Register Success"")",,,,2023-11-17 00:17:22,2023-11-17 00:17:22,0.080s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-17 00:17:22,2023-11-17 00:17:23,0.215s,PASSED
"startApplication(appPath, false)",,,,2023-11-17 00:17:23,2023-11-17 00:17:39,16.685s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-17 00:17:39,2023-11-17 00:17:40,0.578s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-17 00:17:40,2023-11-17 00:17:42,1.879s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-17 00:17:42,2023-11-17 00:17:43,1.125s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-17 00:17:43,2023-11-17 00:17:44,1.129s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-17 00:17:44,2023-11-17 00:17:46,1.613s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-17 00:17:46,2023-11-17 00:17:47,1.650s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-17 00:17:47,2023-11-17 00:17:49,1.610s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-17 00:17:49,2023-11-17 00:17:50,1.585s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-17 00:17:50,2023-11-17 00:17:51,0.616s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-17 00:17:51,2023-11-17 00:17:52,0.515s,PASSED
delay(3),,,,2023-11-17 00:17:52,2023-11-17 00:17:55,3.024s,PASSED
