Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-11-01 16:27:26,2023-11-01 16:28:24,58.261s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-01 16:27:27,2023-11-01 16:28:24,57.361s,PASSED
"comment(""Register Success"")",,,,2023-11-01 16:27:28,2023-11-01 16:27:28,0.185s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-01 16:27:28,2023-11-01 16:27:29,0.763s,PASSED
"startApplication(appPath, false)",,,,2023-11-01 16:27:29,2023-11-01 16:27:55,26.458s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-01 16:27:55,2023-11-01 16:27:57,1.652s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-01 16:27:57,2023-11-01 16:28:05,8.087s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-01 16:28:05,2023-11-01 16:28:07,1.917s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-01 16:28:07,2023-11-01 16:28:09,2.314s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-01 16:28:09,2023-11-01 16:28:12,3.441s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-01 16:28:12,2023-11-01 16:28:14,1.876s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-01 16:28:14,2023-11-01 16:28:17,2.595s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-01 16:28:17,2023-11-01 16:28:20,3.375s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-01 16:28:20,2023-11-01 16:28:22,1.352s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-01 16:28:22,2023-11-01 16:28:24,2.257s,PASSED
