Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,,,,2023-11-01 16:27:26,2023-11-01 16:28:18,52.344s,PASSED
,,,,,,,
Test Cases/TC01_Register Success,,"- An automation script to help user getting started with Mobile automation testing.
- Script Content: Click ""START ALARM SERVICE"" and click ""STOP ALARM SERVICE"", verify alert show is correct",,2023-11-01 16:27:27,2023-11-01 16:28:18,51.494s,PASSED
"comment(""Register Success"")",,,,2023-11-01 16:27:27,2023-11-01 16:27:28,0.173s,PASSED
"appPath = relativeToAbsolutePath(G_AndroidApp, getProjectDir())",,Get full directory's path of android application,,2023-11-01 16:27:28,2023-11-01 16:27:28,0.709s,PASSED
"startApplication(appPath, false)",,,,2023-11-01 16:27:28,2023-11-01 16:27:52,23.544s,PASSED
"tap(findTestObject(""Object Repository/Demo/Add - Button""), 10)",,,,2023-11-01 16:27:52,2023-11-01 16:27:54,2.000s,PASSED
"setText(findTestObject(""Object Repository/Demo/Name - Text Input""), ""DDL AUTOMATION"", 10)",,,,2023-11-01 16:27:54,2023-11-01 16:27:58,3.625s,PASSED
"setText(findTestObject(""Object Repository/Demo/Phone - Text Input""), ""0857623527283"", 10)",,,,2023-11-01 16:27:58,2023-11-01 16:27:59,1.719s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Phone - Text Input""), ""0813623527283"", 10)",,,,2023-11-01 16:27:59,2023-11-01 16:28:02,2.662s,PASSED
"setText(findTestObject(""Object Repository/Demo/Email - Text Input""), ""AUTOMATION@DDL.COM"", 10)",,,,2023-11-01 16:28:02,2023-11-01 16:28:04,2.502s,PASSED
"setText(findTestObject(""Object Repository/Demo/Alternate Email - Text Input""), ""ROBOT@DDL.COM"", 10)",,,,2023-11-01 16:28:04,2023-11-01 16:28:06,1.988s,PASSED
"setText(findTestObject(""Object Repository/Demo/Allergies - Text Input""), ""TEST AUTOMATION"", 10)",,,,2023-11-01 16:28:06,2023-11-01 16:28:09,2.294s,PASSED
"setText(findTestObject(""Object Repository/Demo/Notes - Text Input""), ""AUTOMATION"", 10)",,,,2023-11-01 16:28:09,2023-11-01 16:28:10,1.635s,PASSED
"tap(findTestObject(""Object Repository/Demo/Save - Button""), 10)",,,,2023-11-01 16:28:10,2023-11-01 16:28:11,0.907s,PASSED
"takeScreenshot(""/Users/ddl02/Desktop/Screenshot/a.png"")",,,,2023-11-01 16:28:11,2023-11-01 16:28:18,6.868s,PASSED
